,server,hour,application,success,error
0,fsm-backend-prod-579b7846b9-tbgf4,0,5317,0,0
1,fsm-backend-prod-579b7846b9-9kt4p,0,5827,0,0
2,runner-gitlab-runner-6bf97bb9b9-7q8hq,0,2,0,0
3,fsm-frontend-prod-c97f7b8c6-r5mnt,0,278,0,0
4,nginx-ingress-controller-5b6697898-zqxl4,0,774,0,0
5,nginx-ingress-controller-5b6697898-7wjsr,0,831,0,0
6,learnbuddy-backend-stg-75587bf7c-r7529,0,592,100,0
7,fsm-backend-prod-579b7846b9-88vqc,0,4725,0,0
8,learnbuddy-frontend-prod-5bfc5cdd8f-hxsc8,0,4,0,0
9,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,0,230,0,0
10,fsm-frontend-prod-c97f7b8c6-p7n7p,0,276,0,0
11,fsm-backend-cron-prod-6bd6459455-sl24t,0,54027,0,0
12,cert-manager-5695c78d49-q9s9j,0,1360,0,0
13,fsm-backend-prod-579b7846b9-88vqc,1,1,0,0
14,fsm-frontend-prod-c97f7b8c6-p7n7p,1,246,0,0
15,centralized-user-prod-78bc9f7b96-txbcl,1,26,0,0
16,fsm-backend-prod-579b7846b9-59t62,1,132,0,0
17,nginx-ingress-controller-5b6697898-zqxl4,1,497,0,0
18,fsm-frontend-prod-c97f7b8c6-r5mnt,1,244,0,0
19,fsm-backend-prod-579b7846b9-9kt4p,1,50,0,0
20,fsm-backend-cron-prod-6bd6459455-j5cmk,1,1049,0,0
21,nginx-ingress-controller-5b6697898-7wjsr,1,496,0,0
22,learnbuddy-frontend-prod-5bfc5cdd8f-hxsc8,1,2,1,0
23,fsm-backend-prod-579b7846b9-c2fqn,1,268,0,0
24,fsm-backend-prod-579b7846b9-cclgc,1,614,0,0
25,fsm-backend-prod-579b7846b9-hlkhl,1,1205,0,0
26,fsm-backend-prod-579b7846b9-k52b6,1,1330,0,0
27,fsm-backend-prod-579b7846b9-tbgf4,1,51,0,0
28,learnbuddy-backend-stg-75587bf7c-r7529,1,596,100,0
29,cert-manager-5695c78d49-q9s9j,1,1364,0,0
30,cert-manager-cainjector-658b6dbf77-8t625,1,75,0,0
31,runner-gitlab-runner-6bf97bb9b9-7q8hq,1,6,0,0
32,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,1,254,0,0
33,fsm-backend-prod-579b7846b9-kvt72,1,961,0,0
34,fsm-backend-cron-prod-6bd6459455-ktlpr,1,420,0,0
35,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,2,202,0,0
36,fsm-backend-prod-579b7846b9-59t62,2,2162,0,0
37,fsm-backend-prod-579b7846b9-cclgc,2,1576,0,0
38,nginx-ingress-controller-5b6697898-zqxl4,2,339,0,0
39,fsm-backend-cron-prod-6bd6459455-ktlpr,2,67666,0,0
40,fsm-backend-prod-579b7846b9-kvt72,2,1489,0,0
41,fsm-frontend-prod-c97f7b8c6-r5mnt,2,364,0,0
42,cert-manager-cainjector-658b6dbf77-8t625,2,11,0,0
43,fsm-frontend-prod-c97f7b8c6-p7n7p,2,364,0,0
44,learnbuddy-backend-stg-75587bf7c-r7529,2,596,100,0
45,nginx-ingress-controller-5b6697898-7wjsr,2,410,0,0
46,learnbuddy-frontend-prod-5bfc5cdd8f-hxsc8,2,42,0,0
47,cert-manager-5695c78d49-q9s9j,2,1356,0,0
48,cert-manager-5695c78d49-q9s9j,3,1364,0,0
49,learnbuddy-frontend-stg-76c798ccf7-bqqgd,3,4,0,0
50,learnbuddy-backend-stg-75587bf7c-r7529,3,600,100,0
51,fsm-backend-cron-prod-6bd6459455-ktlpr,3,66814,0,0
52,fsm-backend-prod-579b7846b9-59t62,3,520,0,0
53,fsm-backend-prod-579b7846b9-kvt72,3,3250,0,0
54,centralized-user-prod-78bc9f7b96-txbcl,3,26,0,0
55,learnbuddy-frontend-prod-5bfc5cdd8f-hxsc8,3,48,0,0
56,fsm-frontend-prod-c97f7b8c6-r5mnt,3,364,0,0
57,fsm-backend-prod-579b7846b9-cclgc,3,540,0,0
58,nginx-ingress-controller-5b6697898-zqxl4,3,165,0,0
59,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,3,226,0,0
60,fsm-frontend-prod-c97f7b8c6-p7n7p,3,360,0,0
61,nginx-ingress-controller-5b6697898-7wjsr,3,221,0,0
62,cert-manager-cainjector-658b6dbf77-8t625,3,127,0,0
63,learnbuddy-backend-stg-75587bf7c-r7529,4,588,100,0
64,fsm-frontend-prod-c97f7b8c6-r5mnt,4,374,0,0
65,fsm-backend-cron-prod-6bd6459455-ktlpr,4,66595,0,0
66,cert-manager-5695c78d49-q9s9j,4,1360,0,0
67,fsm-backend-prod-579b7846b9-kvt72,4,464,0,0
68,nginx-ingress-controller-5b6697898-7wjsr,4,148,0,0
69,fsm-frontend-prod-c97f7b8c6-p7n7p,4,374,0,0
70,fsm-backend-prod-579b7846b9-59t62,4,319,0,0
71,nginx-ingress-controller-5b6697898-zqxl4,4,149,0,0
72,learnbuddy-frontend-prod-5bfc5cdd8f-hxsc8,4,4,0,0
73,fsm-backend-prod-579b7846b9-cclgc,4,627,0,0
74,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,4,200,0,0
75,fsm-backend-prod-579b7846b9-kvt72,5,10,0,0
76,fsm-backend-prod-579b7846b9-stpj9,5,504,0,0
77,learnbuddy-frontend-stg-76c798ccf7-bqqgd,5,2,0,0
78,fsm-backend-cron-prod-6bd6459455-p9p49,5,1094,0,0
79,cert-manager-5695c78d49-q9s9j,5,1357,0,0
80,cert-manager-cainjector-658b6dbf77-8t625,5,90,0,0
81,learnbuddy-backend-stg-75587bf7c-r7529,5,600,100,0
82,fsm-backend-prod-579b7846b9-krvsh,5,1845,0,0
83,learnbuddy-frontend-prod-5bfc5cdd8f-bw8r4,5,2,0,0
84,fsm-frontend-prod-c97f7b8c6-r5mnt,5,286,0,0
85,fsm-backend-prod-579b7846b9-59t62,5,9,0,0
86,fsm-backend-prod-579b7846b9-cclgc,5,30,0,0
87,nginx-ingress-controller-5b6697898-zqxl4,5,241,0,0
88,fsm-frontend-prod-c97f7b8c6-88psm,5,204,0,0
89,fsm-teachers-frontend-prod-558cb94cd4-8s6zz,5,200,0,0
90,nginx-ingress-controller-5b6697898-7wjsr,5,230,0,0
91,fsm-backend-cron-prod-6bd6459455-ktlpr,5,45553,0,0
92,fsm-frontend-prod-c97f7b8c6-p7n7p,5,286,0,0
93,fsm-frontend-prod-c97f7b8c6-6wb8r,5,204,0,0
94,fsm-backend-prod-579b7846b9-pf9wp,5,1202,0,0
95,fsm-backend-prod-579b7846b9-pf9wp,6,9123,0,0
96,centralized-user-prod-78bc9f7b96-txbcl,6,58,0,0
97,cert-manager-cainjector-658b6dbf77-8t625,6,29,0,0
98,fsm-frontend-prod-c97f7b8c6-6wb8r,6,420,0,0
99,learnbuddy-frontend-stg-76c798ccf7-bqqgd,6,2,0,0
100,nginx-ingress-controller-5b6697898-7wjsr,6,309,0,0
101,fsm-backend-prod-579b7846b9-stpj9,6,5251,0,0
102,fsm-backend-prod-579b7846b9-krvsh,6,2904,0,0
